hotel_name,street,city,state,country,zip,class,price,num_reviews,nr_norm,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,overall_ratingsource
fairmont heritage place ghirardelli square,900 north point street,san francisco,ca,USA,94109,5,764,41,12,4.8974358974,4.9487179487,4.7692307692,4.7435897436,4.6153846154,4.7948717949
hotel drisco,2901 pacific avenue,san francisco,ca,USA,94115,4,439,307,12,4.8028169014,4.6948356808,4.765258216,4.5258215962,4.5727699531,4.6723004695
omni san francisco hotel,500 california street,san francisco,ca,USA,94104,4,325,350,11,4.7674418605,4.5714285714,4.7375415282,4.4850498339,4.4318936877,4.5986710963
the inn at union square,440 post street,san francisco,ca,USA,94102,3,219,241,12,4.5760869565,4.375,4.6956521739,4.9076086957,4.6032608696,4.6315217391
the orchard hotel,665 bush street,san francisco,ca,USA,94108,4,204,333,12,4.6877076412,4.584717608,4.4651162791,4.6910299003,4.5149501661,4.5887043189
the donatello hotel,501 post st.,san francisco,ca,USA,94102,4,278,324,12,4.6411960133,4.4817275748,4.6478405316,4.7441860465,4.6112956811,4.6252491694
chancellor hotel on union square,433 powell street,san francisco,ca,USA,94102,3,224,325,12,4.7009966777,4.2558139535,4.561461794,4.8936877076,4.5747508306,4.5973421927
white swan inn,845 bush street,san francisco,ca,USA,94108,3,199,226,8,4.5285714286,4.4428571429,4.6142857143,4.6357142857,4.3714285714,4.5185714286
argonaut hotel a kimpton hotel,495 jefferson street at hyde,san francisco,ca,USA,94109,4,212,352,12,4.7408637874,4.4784053156,4.5083056478,4.7275747508,4.2757475083,4.546179402
hotel monaco san francisco a kimpton hotel,501 geary st,san francisco,ca,USA,94102,4,174,293,10,4.6234567901,4.1851851852,4.4444444444,4.3580246914,4.1296296296,4.3481481481
mandarin oriental,222 sansome street,san francisco,ca,USA,94104,5,332,188,11,4.8181818182,4.6033057851,4.5867768595,4.4710743802,4.0082644628,4.4975206612
orchard garden hotel,466 bush street,san francisco,ca,USA,94108,4,188,311,12,4.8060836502,4.5285171103,4.5247148289,4.6996197719,4.3536121673,4.5825095057
marines memorial club hotel,609 sutter st,san francisco,ca,USA,94102,3,237,32,15,4.652173913,4.1304347826,4.6956521739,4.7391304348,4.6956521739,4.5826086957
the ritz carlton,600 stockton street,san francisco,ca,USA,94108,5,519,215,13,4.8650793651,4.7063492063,4.6904761905,4.5714285714,4.2063492063,4.6079365079
hotel abri union square a larkspur collection hotel,127 ellis street,san francisco,ca,USA,94102,3,190,167,10,4.5545454545,4.1636363636,4.5636363636,4.6909090909,4.5272727273,4.5
le meridien san francisco,333 battery street,san francisco,ca,USA,94111,4,207,304,11,4.6705882353,4.5960784314,4.4352941176,4.4549019608,4.2980392157,4.4909803922
the huntington hotel nob hill spa,1075 california street,san francisco,ca,USA,94108,-1,-1,95,12,4.602739726,4.2054794521,4.5753424658,4.6301369863,4.0684931507,4.4164383562
hotel rex,562 sutter st,san francisco,ca,USA,94102,3,160,471,10,4.4962406015,4.1052631579,4.545112782,4.7406015038,4.3496240602,4.4473684211
hotel vitale,8 mission street,san francisco,ca,USA,94105,4,297,283,13,4.7870967742,4.6580645161,4.535483871,4.7612903226,4.0967741935,4.5677419355
columbus motor inn,1075 columbus ave,san francisco,ca,USA,94133,2,228,253,9,4.4607329843,4.2146596859,4.0157068063,4.6439790576,4.5968586387,4.3863874346
ocean park motel,2690 46th ave,san francisco,ca,USA,94116,2,-1,55,9,4.5681818182,3.9772727273,4.4772727273,4.1363636364,4.4545454545,4.3227272727
the fairmont san francisco,950 mason street,san francisco,ca,USA,94108,4,223,361,15,4.5703125,4.3125,4.2578125,4.53515625,4.03125,4.34140625
hotel carlton a joie de vivre hotel,1075 sutter street,san francisco,ca,USA,94109,3,217,352,9,4.5215946844,4.1063122924,4.7009966777,3.926910299,4.4352159468,4.3382059801
the kensington park hotel,450 post street,san francisco,ca,USA,94102,3,279,144,10,4.4042553191,4.1808510638,4.4042553191,4.8404255319,4.2340425532,4.4127659574
hotel palomar san francisco a kimpton hotel,12 fourth st,san francisco,ca,USA,94103,4,164,290,12,4.5419354839,4.2322580645,4.2774193548,4.6258064516,4.1161290323,4.3587096774
petite auberge,863 bush street,san francisco,ca,USA,94108,3,239,208,11,4.373015873,4.1587301587,4.5634920635,4.6349206349,4.3174603175,4.4095238095
intercontinental san francisco,888 howard street,san francisco,ca,USA,94103,4,174,244,10,4.7342342342,4.5225225225,4.1846846847,4.1126126126,3.9774774775,4.3063063063
laurel inn,444 presidio ave,san francisco,ca,USA,94115,3,217,71,8,4.3684210526,4.1578947368,4.3157894737,4.0789473684,4.3157894737,4.2473684211
suites at fisherman s wharf,2655 hyde street,san francisco,ca,USA,94109,3,429,66,10,4.5272727273,4.2,4.5636363636,4.6909090909,4.3454545455,4.4654545455
st regis hotel san francisco,125 3rd st,san francisco,ca,USA,94103,5,483,158,14,4.7457627119,4.5254237288,4.3559322034,4.4322033898,3.8220338983,4.3762711864
steinhart,952 sutter street,san francisco,ca,USA,94109,-1,-1,17,14,4.6923076923,4.4615384615,4.4615384615,4.4615384615,4.6153846154,4.5384615385
villa florence hotel union square a larkspur collection hotel,225 powell street,san francisco,ca,USA,94102,3,178,257,11,4.1949685535,3.8490566038,4.2578616352,4.7421383648,4.0943396226,4.227672956
four seasons hotel san francisco,757 market street,san francisco,ca,USA,94103,5,395,141,11,4.7848101266,4.4303797468,4.6202531646,4.6329113924,4.0126582278,4.4962025316
harbor court hotel a kimpton hotel,165 steuart street,san francisco,ca,USA,94105,3,118,173,14,4.5769230769,3.8269230769,4.1634615385,4.4134615385,4.0192307692,4.2
castle inn,1565 broadway,san francisco,ca,USA,94109,2,189,432,11,4.3674698795,3.8373493976,4.3313253012,4.4156626506,4.3795180723,4.2662650602
serrano hotel a kimpton hotel,405 taylor street,san francisco,ca,USA,94102,4,173,327,11,4.5101010101,4.1111111111,4.4141414141,4.0606060606,4.1666666667,4.2525252525
san francisco marriott union square,480 sutter street,san francisco,ca,USA,94108,4,199,212,15,4.4718309859,4.0492957746,3.9295774648,4.7605633803,4.014084507,4.2450704225
hotel boheme,444 columbus avenue,san francisco,ca,USA,94133,3,221,96,13,4.453125,3.828125,4.421875,4.828125,4.3125,4.36875
hyatt at fisherman s wharf,555 north point street,san francisco,ca,USA,94133,4,229,260,10,4.4627659574,4.2446808511,4.2446808511,4.5585106383,3.914893617,4.285106383
