,hotel_name,hotel_original_rating,hotel_price,ratings,user_age,user_id,user_ihp,user_wealth
0,the kimberly hotel,4.4037037037,352.25,4.0,2.0,0,286.25,0.28110089769289737
1,sofitel chicago water tower,4.6013289037,188.0,4.0,2.0,0,286.25,0.28110089769289737
2,the peninsula chicago,4.4810126582,350.0,5.0,2.0,0,286.25,0.28110089769289737
3,lowell hotel,4.3818181818,563.5,4.0,2.0,0,286.25,0.28110089769289737
4,the plaza,4.1685714286,531.0,4.0,2.0,0,286.25,0.28110089769289737
5,the gem hotel chelsea,4.1210526316000005,122.0,3.0,2.0,0,286.25,0.28110089769289737
6,greenwich hotel,4.2315789474,625.0,4.0,3.0,1,503.5,0.9063902283605205
7,sofitel new york,4.6059800664,203.0,4.0,3.0,1,503.5,0.9063902283605205
8,the carlyle a rosewood hotel,3.9512195122000002,895.0,3.0,3.0,1,503.5,0.9063902283605205
9,the ritz carlton,4.6079365079,519.0,5.0,3.0,1,503.5,0.9063902283605205
10,park hyatt chicago,4.6433734939999995,289.0,4.0,3.0,1,503.5,0.9063902283605205
11,thehotel at mandalay bay,4.0205980066,121.0,5.0,2.0,2,161.25,-0.5767400323493993
12,hotel griffon,4.1396226415,161.0,4.0,2.0,2,161.25,-0.5767400323493993
13,intercontinental san francisco,4.3063063063,174.0,5.0,2.0,2,161.25,-0.5767400323493993
14,courtyard by marriott new york manhattan upper east side,4.0729411765,115.0,5.0,2.0,2,161.25,-0.5767400323493993
15,radisson martinique on broadway,3.6531531532,155.0,4.0,2.0,2,161.25,-0.5767400323493993
16,royal pacific motor inn,3.6555555556,180.0,4.0,2.0,2,161.25,-0.5767400323493993
17,broadway plaza hotel,3.9938461538,132.0,5.0,2.0,2,161.25,-0.5767400323493993
18,the orchard hotel,4.5887043189,204.0,5.0,2.0,2,161.25,-0.5767400323493993
19,wyndham garden hotel times square south,4.4243243243,156.0,5.0,2.0,2,161.25,-0.5767400323493993
20,kitano new york,4.4345454545,253.0,5.0,4.0,3,209.25,-0.1597535602623552
21,park central,3.5574750831,116.67,3.0,4.0,3,209.25,-0.1597535602623552
22,sheraton new york hotel towers,3.8039867110000003,281.0,4.0,5.0,4,269.0,0.511078667816507
23,skyline hotel,3.7681318681000002,229.0,5.0,5.0,4,269.0,0.511078667816507
24,comfort inn suites las vegas,4.4857142857,87.0,5.0,5.0,4,269.0,0.511078667816507
25,four seasons hotel san francisco,4.4962025316,395.0,5.0,5.0,4,269.0,0.511078667816507
26,best western carriage inn,4.075,245.0,4.0,5.0,4,269.0,0.511078667816507
27,four seasons hotel san francisco,4.4962025316,395.0,5.0,4.0,5,309.25,0.8184938809749546
28,the ritz carlton,4.6079365079,519.0,4.0,4.0,5,309.25,0.8184938809749546
29,trump international hotel and tower,4.4829268293,562.0,4.0,4.0,5,309.25,0.8184938809749546
30,west 57th street by hilton club,4.275,436.0,4.0,4.0,5,309.25,0.8184938809749546
31,four seasons hotel san francisco,4.4962025316,395.0,4.0,4.0,5,309.25,0.8184938809749546
32,the bowery hotel,4.6344827586,345.0,5.0,4.0,5,309.25,0.8184938809749546
33,the lombardy,3.9333333333,319.0,4.0,4.0,5,309.25,0.8184938809749546
34,plaza athenee hotel,4.04,257.75,4.0,4.0,5,309.25,0.8184938809749546
35,four seasons hotel san francisco,4.4962025316,395.0,4.0,4.0,5,309.25,0.8184938809749546
36,hotel vitale,4.5677419355,297.0,4.0,5.0,6,169.0,-0.06861711792200845
37,amsterdam court hotel,3.4355828220999998,231.6,4.0,5.0,6,169.0,-0.06861711792200845
38,motel 6 san francisco downtown,2.7,166.0,3.0,5.0,6,169.0,-0.06861711792200845
39,kitano new york,4.4345454545,253.0,5.0,2.0,7,161.25,-0.5083816003088116
40,harbor court hotel a kimpton hotel,4.2,118.0,5.0,2.0,7,161.25,-0.5083816003088116
41,springhill suites chicago downtown river north,4.5594594595,130.0,5.0,2.0,7,161.25,-0.5083816003088116
42,best western hospitality house,4.3288461538,226.0,4.0,2.0,7,161.25,-0.5083816003088116
43,the roosevelt hotel,3.6571428570999998,181.25,4.0,2.0,7,161.25,-0.5083816003088116
44,seafarers international house,3.9052631579000003,120.5,5.0,1.0,8,134.225,-0.3841037998486801
45,four points by sheraton midtown times square,3.8866666667,146.0,5.0,1.0,8,134.225,-0.3841037998486801
46,edwardian san francisco hotel,3.4140350877,129.67,4.0,1.0,8,134.225,-0.3841037998486801
47,the carriage house,4.3720430108,79.0,4.0,1.0,9,134.225,-0.6871395565629508
48,layne hotel,3.8214285714,149.0,4.0,1.0,9,134.225,-0.6871395565629508
49,buena vista motor inn,3.6338461538,177.0,4.0,1.0,9,134.225,-0.6871395565629508
50,w new york times square,3.9443223443,210.5,4.0,1.0,9,134.225,-0.6871395565629508
51,renaissance las vegas hotel,4.2394160584,106.0,5.0,1.0,9,134.225,-0.6871395565629508
52,hotel east houston,4.0516129032,163.75,5.0,1.0,9,134.225,-0.6871395565629508
53,the premier,4.5,160.8,5.0,1.0,9,134.225,-0.6871395565629508
54,suncoast hotel and casino,4.1820512821,66.0,4.0,1.0,9,134.225,-0.6871395565629508
55,the sutton place hotel,4.4637362637,161.0,5.0,2.0,10,161.25,-0.6184335555242301
56,the hampton inn times square north,4.5641196013,141.0,5.0,2.0,10,161.25,-0.6184335555242301
57,four seasons hotel san francisco,4.4962025316,395.0,5.0,5.0,11,269.0,0.2856883058488901
58,hilton club new york,4.46,431.0,4.0,5.0,11,269.0,0.2856883058488901
59,sheraton new york hotel towers,3.8039867110000003,281.0,4.0,5.0,11,269.0,0.2856883058488901
60,touchstone hotel,3.8142857143,124.0,3.0,5.0,11,269.0,0.2856883058488901
61,radisson martinique on broadway,3.6531531532,155.0,4.0,5.0,11,269.0,0.2856883058488901
62,w san francisco,3.8472440944999997,266.0,4.0,5.0,11,269.0,0.2856883058488901
63,kitano new york,4.4345454545,253.0,5.0,5.0,11,269.0,0.2856883058488901
64,w new york the tuscany,3.9857142857,107.0,4.0,5.0,12,119.0,-1.8568478862524975
65,chelsea motor inn,4.1555555556,198.0,4.0,5.0,12,119.0,-1.8568478862524975
66,comfort inn,3.76,81.25,3.0,2.0,13,136.25,-1.3846008695561405
67,cova hotel,4.0723404255,169.0,5.0,2.0,13,136.25,-1.3846008695561405
68,wellington hotel,3.7940199336,170.75,4.0,2.0,13,136.25,-1.3846008695561405
69,aldrich hotel,1.2,87.6,2.0,2.0,13,136.25,-1.3846008695561405
70,new york new york hotel and casino,3.8398671095999997,52.0,4.0,2.0,13,136.25,-1.3846008695561405
