the kimberly hotel,4,0
sofitel chicago water tower,4,0
the peninsula chicago,5,0
lowell hotel,4,0
the plaza,4,0
the gem hotel chelsea,3,0
greenwich hotel,4,1
sofitel new york,4,1
the carlyle a rosewood hotel,3,1
the ritz carlton,5,1
park hyatt chicago,4,1
thehotel at mandalay bay,5,2
hotel griffon,4,2
intercontinental san francisco,5,2
courtyard by marriott new york manhattan upper east side,5,2
radisson martinique on broadway,4,2
royal pacific motor inn,4,2
broadway plaza hotel,5,2
the orchard hotel,5,2
wyndham garden hotel times square south,5,2
kitano new york,5,3
park central,3,3
sheraton new york hotel towers,4,4
skyline hotel,5,4
comfort inn suites las vegas,5,4
four seasons hotel san francisco,5,4
best western carriage inn,4,4
four seasons hotel san francisco,5,5
the ritz carlton,4,5
trump international hotel and tower,4,5
west 57th street by hilton club,4,5
four seasons hotel san francisco,4,5
the bowery hotel,5,5
the lombardy,4,5
plaza athenee hotel,4,5
four seasons hotel san francisco,4,5
hotel vitale,4,6
amsterdam court hotel,4,6
motel 6 san francisco downtown,3,6
kitano new york,5,7
harbor court hotel a kimpton hotel,5,7
springhill suites chicago downtown river north,5,7
best western hospitality house,4,7
the roosevelt hotel,4,7
seafarers international house,5,8
four points by sheraton midtown times square,5,8
edwardian san francisco hotel,4,8
the carriage house,4,9
layne hotel,4,9
buena vista motor inn,4,9
w new york times square,4,9
renaissance las vegas hotel,5,9
hotel east houston,5,9
the premier,5,9
suncoast hotel and casino,4,9
the sutton place hotel,5,10
the hampton inn times square north,5,10
four seasons hotel san francisco,5,11
hilton club new york,4,11
sheraton new york hotel towers,4,11
touchstone hotel,3,11
radisson martinique on broadway,4,11
w san francisco,4,11
kitano new york,5,11
w new york the tuscany,4,12
chelsea motor inn,4,12
comfort inn,3,13
cova hotel,5,13
wellington hotel,4,13
aldrich hotel,2,13
new york new york hotel and casino,4,13
the ritz carlton new york central park,4,14
park south hotel,4,15
the donatello hotel,5,15
casablanca hotel,5,15
best western hotel tomo,5,15
carlton inn midway,5,15
w san francisco,4,15
four seasons hotel san francisco,4,16
the pierre,5,16
the mark,5,16
the plaza,4,16
peninsula new york,5,16
campton place hotel,4,16
the kimberly hotel,4,16
greenwich hotel,4,16
courtyard new york manhattan midtown east,5,17
le meridien san francisco,5,17
the sherry netherland hotel,5,18
new york palace hotel,4,18
la quinta manhattan,4,18
chelsea motor inn,4,19
the hotel 91,5,20
oceanview motel,4,20
the lucerne hotel,5,20
the donatello hotel,5,20
the lombardy,4,20
oceanview motel,3,21
mandarin oriental,4,21
surf motel,2,21
west 57th street by hilton club,4,21
roger smith hotel,4,22
milford plaza hotel,4,22
